Dish Name,Ingredients,Recipe Steps,Calories (per 100g),Diet Type,Type of Dish,Macro Nutrients (per 100g),Dosha,Dish_Numeric,Suitable_for_Encoded,Type_of_Dish_Encoded,Ingredients_Encoded,Recipe Steps_Encoded,Dosha_Numeric,BMI Suitability,BMI_Suitability_Encoded,cooling,highenergy,highfiber,highprotein,hydrating,lowcalorie,lowcarb,lowfat,probiotic,proteinrich,vegan,vegetarian,vitaminrich,ProteinContent,SodiumContent,CholesterolContent,SaturatedFatContent,SugarContent,CarbohydrateContent
Gajar Halwa,"Carrots, milk, nuts, spices","1 Grate carrots, cook with milk and sugar 2 Add nuts",180,['highfiber'],Dessert,"Protein 3g, Carbs 28g, Fat 5g",kapha,1,1,1,"[1, 2, 3, 4]",[1],3,Underweight,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,662,36,8.31,14.81,63
Baingan Bharta,"Eggplant, tomatoes, onions, spices","1 Roast eggplant until charred, peel and mash 2 Saut onions, add tomatoes and spices, then mix with eggplant",90,['vegan'],Main Course,"Protein 2g, Carbs 10g, Fat 4g",kapha,2,1,2,"[5, 6, 7, 4]",[2],3,Overweight,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5,511,31,3.92,6.24,25
Lentil Salad,"Mixed lentils, cucumber, tomatoes, lemon","1 Boil lentils until tender 2 Chop cucumber and tomatoes 3 Mix all ingredients, season with lemon juice and salt",120,['vegan'],Salad,"Protein 7g, Carbs 18g, Fat 1g",kapha,3,2,3,"[8, 9, 6, 10]",[3],3,Normal,3,0,0,0,0,0,0,0,0,0,0,1,0,0,14,692,8,1.71,6.19,17
Quinoa Upma,"Quinoa, vegetables, mustard seeds, spices","1Roast quinoa 2 Saute mustard seeds and vegetables 3 Add quinoa and water, cook",120,['highprotein'],Main Course,"Protein 4g, Carbs 20g, Fat 2g",kapha,4,3,2,"[11, 12, 13, 4]",[4],3,Normal,3,0,0,0,1,0,0,0,0,0,0,0,0,0,12,54,40,5.46,12.38,13
Barley Khichdi,"Barley, moong dal, spices, cumin",1 Cook barley and  moong dal with  spices in a  pressure cooker 2 Garnish with cilantro,100,"['highfiber', 'lowfat']",Main Course,"Protein5g,Carbs18g, Fat1g",kapha,5,4,2,"[14, 15, 4, 16]",[5],3,Normal,3,0,0,1,0,0,0,0,1,0,0,0,0,0,9,267,34,7.81,14.26,49
Khichdi,"Rice, lentils, vegetables, spices",Cook rice and lentils with spices,120,['highfiber'],Main Course,"Protein 4g, Carbs 22g, Fat 2g",kapha,6,1,2,"[17, 18, 12, 4]",[6],3,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,14,552,18,2.55,14.8,13
Spiced Pumpkin Soup,"Pumpkin, ginger, cinnamon, coconut milk, spices",1 Cook pumpkin with ginger and cinnamon 2 Blend with coconut milk and spices,80,['lowfat'],Soup,"Protein 2g, Carbs 15g, Fat 3g",kapha,7,1,4,"[19, 20, 21, 22, 4]",[7],3,Overweight,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6,447,47,6.42,11.55,65
Baked Sweet Potato,"Sweet potato, olive oil, black pepper, rosemary","1 Slice sweet potato 2 Season with olive oil, pepper, and rosemary 3 Bake until soft",110,['highfiber'],Side Dish,"Protein 2g, Carbs 20g, Fat 2g",kapha,8,3,5,"[23, 24, 25, 26]",[8],3,Normal,3,0,0,1,0,0,0,0,0,0,0,0,0,0,8,442,15,1.31,6.27,34
Turmeric Rice,"Basmati rice, turmeric, cumin, ghee, bay leaves","1 Cook basmati rice with turmeric, cumin, and ghee 2 Add bay leaves for aroma",130,['lowfat'],Main Course,"Protein 3g, Carbs 25g, Fat 4g",kapha,9,3,2,"[27, 28, 16, 29, 30]",[9],3,Normal,3,0,0,0,0,0,0,0,1,0,0,0,0,0,11,256,2,0.99,2.17,12
Mung Bean Stew,"Mung beans, ginger, cumin, coriander, vegetables","1 Soak mung beans 2 Cook with ginger, cumin, and coriander 3 Add vegetables",90,['highprotein'],Main Course,"Protein 5g, Carbs 18g, Fat 1g",kapha,10,2,2,"[31, 20, 16, 32, 12]",[10],3,Overweight,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4,64,19,5.55,11.88,41
